Country	AQI
Bosnia & Herzegovina	34.6
North Macedonia	32.4
Bulgaria	25.5
Kosovo	23.5
Serbia	23.3
Greece	22.5
Turkey	20.6
Cyprus	19.7
Croatia	19.1
Poland	18.7
Romania	18.3
Italy	17.1
Ukraine	16.6
Slovakia	16.1
Hungary	14.6
Lithuania	14.5
Czechia	14.5
Latvia	13.3
Belgium	12.5
France	12.3
Austria	12.2
Germany	11.0
Netherlands	10.9
Switzerland	10.9
Ireland	10.6
The United Kingdom	10.5
Russia	9.9
Spain	9.7
Luxembourg	9.6
Denmark	9.6
Malta	9.4
Portugal	9.3
Norway	6.9
Sweden	6.6
Estonia	6.2
Iceland	5.6
Finland	5.6
